#CellList
#Coordinate Time=591659.4468163316
#Id(1) x(2) Volume(3) S(4) D(5) E(6) 3-Vel(7) rho0(8) eps(9) p(10) left(12) right(13) 
40 103.2875 0.5750000000000028 1.3179761048917143E-4 13.529261812213726 7.402201511726044E-8 2922.501113865215 1.824828984009895E36 6.584070719279225E29 8.907761654703225E42 40 41
41 103.86250000000001 0.5750000000000028 1.3293804645039614E-4 13.517316843373493 7.39041757812913E-8 2950.3942212100633 1.8232178447121453E36 6.578252409884391E29 8.892032209579234E42 41 42
42 104.4375 0.5749999999999886 1.3407283717257305E-4 13.505332615820196 7.378618349104391E-8 2978.219926781732 1.821601410192927E36 6.57242347702267E29 8.876276514484271E42 42 43
43 105.01249999999999 0.5750000000000028 1.3520696342295572E-4 13.493243743019374 7.366719886471032E-8 3006.1035995888765 1.8199708611060722E36 6.566535621278667E29 8.860386568068396E42 43 44
44 105.5875 0.5750000000000028 1.3634022001059428E-4 13.481127201143916 7.354823947053952E-8 3034.0241545606887 1.8183365800100163E36 6.560643228963382E29 8.844486588645577E42 44 45
45 106.1625 0.5750000000000028 1.3748247287059806E-4 13.469006002238366 7.342948589812418E-8 3062.1963793588575 1.816701670772973E36 6.554742095084101E29 8.828586061721301E42 45 46
46 106.73750000000001 0.5750000000000028 1.386298270887222E-4 13.456908396679285 7.331131116593118E-8 3090.5276642846875 1.8150699438102295E36 6.548855787462836E29 8.812735243027407E42 46 47
47 107.3125 0.5749999999999886 1.397793410340434E-4 13.444751260472364 7.319271861081282E-8 3118.971935106961 1.8134301873442207E36 6.542936635390669E29 8.79681555711053E42 47 48
48 107.88749999999999 0.5750000000000028 1.4092250383694342E-4 13.432508736749746 7.30734258529552E-8 3147.345854893864 1.8117789137965126E36 6.536980078655831E29 8.78080420136712E42 48 49
49 108.4625 0.5750000000000028 1.4206396409478155E-4 13.420183081037678 7.295343181863985E-8 3175.753155534658 1.810116427392837E36 6.530979886714075E29 8.764694577336675E42 49 50
50 109.0375 0.5750000000000028 1.4320931923518694E-4 13.407855388830928 7.283374557288085E-8 3204.3003195002707 1.8084536663064127E36 6.524982776959831E29 8.748602548309949E42 50 51
51 109.61250000000001 0.5750000000000028 1.4436485294484866E-4 13.395552446277273 7.271463784483117E-8 3233.1220074327825 1.8067942434571015E36 6.518994229917034E29 8.732552909876132E42 51 52
52 110.1875 0.5749999999999886 1.4552504295974327E-4 13.38325425647351 7.259588253122515E-8 3262.0999033741487 1.805135461659428E36 6.513008271153152E29 8.716524566220451E42 52 53
