#CellList
#Coordinate Time=1000446.3920539304
#Id(1) x(2) Volume(3) S(4) D(5) E(6) 3-Vel(7) rho0(8) eps(9) p(10) left(12) right(13) 
0 80.2875 0.5750000000000028 1.5945957762406176E-4 13.226943685710733 7.110768379616182E-8 3616.6989073994996 1.784052267001956E36 6.437792827010396E29 8.515232317695095E42 0 1
1 80.86250000000001 0.5750000000000028 1.612451351181563E-4 13.207402777116773 7.092282678632892E-8 3662.6080718412886 1.7814165861410978E36 6.428204053211862E29 8.489988005793637E42 1 2
2 81.4375 0.5749999999999886 1.6180763350420515E-4 13.201242730190742 7.086460923182882E-8 3677.0999917107056 1.780585718031408E36 6.425175178605619E29 8.482029711039799E42 2 3
3 82.01249999999999 0.5750000000000028 1.6324502028846078E-4 13.185481564881762 7.07158961057323E-8 3714.1992367894895 1.7784598495462926E36 6.417423840684351E29 8.461682373889117E42 3 4
4 82.5875 0.5750000000000028 1.6404021321094194E-4 13.176759865258218 7.063367849482401E-8 3734.7621071283556 1.7772834653130818E36 6.413125575031484E29 8.45042156813875E42 4 5
5 83.1625 0.5750000000000028 1.6530233927553018E-4 13.162902137474312 7.050319973359661E-8 3767.4595417792125 1.7754143327842303E36 6.406288932517086E29 8.432535427645776E42 5 6
6 83.73750000000001 0.5750000000000028 1.6622190481012597E-4 13.152806935419283 7.040821738585698E-8 3791.3253922136582 1.7740526903244542E36 6.401296436890633E29 8.419501616408635E42 6 7
7 84.3125 0.5749999999999886 1.673913748346688E-4 13.139966385431778 7.028743626567474E-8 3821.730622759578 1.7723207548986244E36 6.39492743444188E29 8.402913151902345E42 7 8
8 84.88749999999999 0.5750000000000028 1.6837754081031782E-4 13.129100093936838 7.018563528809033E-8 3847.4275727784807 1.7708551077724577E36 6.389560035199816E29 8.388917325145814E42 8 9
9 85.4625 0.5750000000000028 1.6949752511787638E-4 13.116755321749869 7.007002559982576E-8 3876.664293037131 1.76919004293524E36 6.383445191430082E29 8.373008867879835E42 9 10
10 86.0375 0.5750000000000028 1.70519005035078E-4 13.1054107384095 6.996458024932807E-8 3903.403105003488 1.7676598837288283E36 6.377888580098195E29 8.358484947892293E42 10 11
11 86.61250000000001 0.5750000000000028 1.716122235774055E-4 13.093260302764232 6.985172220723657E-8 3932.0738561541048 1.766021031035268E36 6.371923993380501E29 8.342925946759363E42 11 12
12 87.1875 0.5749999999999886 1.7265286394431886E-4 13.081623138259392 6.974431243933043E-8 3959.4366913097206 1.7644514084348116E36 6.366261823465273E29 8.328103796680737E42 12 13
13 87.76249999999999 0.5750000000000028 1.7373202971195738E-4 13.06955270162661 6.963292950938311E-8 3987.864738196579 1.7628233460207684E36 6.360369888946299E29 8.312718945807834E42 13 14
14 88.3375 0.5750000000000028 1.7478332645896777E-4 13.057750097917868 6.952447626558321E-8 4015.6226754853137 1.761231408954137E36 6.354635274902909E29 8.297723937566233E42 14 15
15 88.9125 0.5750000000000028 1.7585536870780272E-4 13.04571579973791 6.941388766983367E-8 4043.979714534113 1.7596082209003374E36 6.348765616921516E29 8.282419190998087E42 15 16
16 89.48750000000001 0.5750000000000028 1.7691274274103495E-4 13.033807551198654 6.930487043080973E-8 4072.012115745723 1.7580020344421287E36 6.342979171131097E29 8.267316981016855E42 16 17
17 90.0625 0.5749999999999886 1.7798129192589412E-4 13.02177511793935 6.919471382502422E-8 4100.392345260694 1.756379097929099E36 6.3371103311384955E29 8.252042562194769E42 17 18
18 90.63749999999999 0.5750000000000028 1.7904215312128795E-4 13.009789490435434 6.908540691992149E-8 4128.632935260394 1.754762474583796E36 6.331286656027466E29 8.236870659072008E42 18 19
19 91.2125 0.5750000000000028 1.8010901821134554E-4 12.997737259777901 6.897549322120781E-8 4157.08548458845 1.753136867794517E36 6.32540855814256E29 8.221599849159421E42 19 20
20 91.7875 0.5750000000000028 1.8117191590037664E-4 12.98568850480092 6.886603203247678E-8 4185.498071883612 1.7515117298055753E36 6.319554453434085E29 8.206376561343565E42 20 21
21 92.36250000000001 0.5750000000000028 1.822380359607777E-4 12.973601255525997 6.875625938670043E-8 4214.050450398689 1.7498813996995852E36 6.313663792221629E29 8.191095649365447E42 21 22
22 92.9375 0.5749999999999886 1.833022685077097E-4 12.961504528328986 6.864674044549391E-8 4242.615496923176 1.7482497912099445E36 6.307781762898083E29 8.175834187533876E42 22 23
23 93.51249999999999 0.5750000000000028 1.8436812237802692E-4 12.94937658850243 6.853706231166641E-8 4271.28176831626 1.7466139727558496E36 6.301875639125575E29 8.160536085667541E42 23 24
24 94.0875 0.5750000000000028 1.8543312241119575E-4 12.937232865458716 6.842752125393377E-8 4299.987232132558 1.7449760254589002E36 6.295968745721001E29 8.145241376867571E42 24 25
25 94.6625 0.5750000000000028 1.864989573902122E-4 12.925063755452067 6.83179058666556E-8 4328.774518255024 1.7433346539643368E36 6.290043589448584E29 8.129921440973215E42 25 26
26 95.23750000000001 0.5750000000000028 1.8756450806930804E-4 12.91287672180156 6.820838407436366E-8 4357.615506177165 1.7416908649258237E36 6.284113836119305E29 8.114598726301569E42 26 27
27 95.8125 0.5749999999999886 1.88630448822782E-4 12.900666273688232 6.809883392215463E-8 4386.528017616136 1.7400439177408258E36 6.278169399501359E29 8.099256822399073E42 27 28
28 96.38749999999999 0.5750000000000028 1.896962598279589E-4 12.888435326025967 6.798934275886065E-8 4415.499315050315 1.7383942055733925E36 6.272218116190759E29 8.083907753249695E42 28 29
29 96.9625 0.5750000000000028 1.9076226231926565E-4 12.876182479832353 6.787984418613474E-8 4444.537671651284 1.7367415397285527E36 6.266253614802237E29 8.068542500024799E42 29 30
30 97.5375 0.5750000000000028 1.918282368722293E-4 12.863909267369285 6.777039936118809E-8 4473.637777256788 1.735086126878034E36 6.260281158843217E29 8.053168880662661E42 30 31
31 98.11250000000001 0.5750000000000028 1.928943525067733E-4 12.851615313319616 6.766097123150267E-8 4502.804024117224 1.733427916399E36 6.254296896390299E29 8.037781775864313E42 31 32
32 98.6875 0.5749999999999886 1.939604068228268E-4 12.839300496690381 6.755158475302097E-8 4532.032057057559 1.7317668919719015E36 6.2483037767865224E29 8.022384977561345E42 32 33
33 99.26249999999999 0.5750000000000028 1.9502647829759096E-4 12.826964422082245 6.744221756626139E-8 4561.324172698581 1.7301030002652125E36 6.2422996085849944E29 8.006975498204262E42 33 34
34 99.8375 0.5750000000000028 1.9609244813129073E-4 12.814607799866897 6.733289170583794E-8 4590.677666208292 1.7284363370939785E36 6.236285847506444E29 7.991555725429912E42 34 35
35 100.4125 0.5750000000000028 1.971584492512836E-4 12.802231157769578 6.722360407449395E-8 4620.095781143892 1.7267669736378656E36 6.230262203915861E29 7.976125689858732E42 35 36
36 100.98750000000001 0.5750000000000028 1.9822439300943686E-4 12.78983460164896 6.71143627363726E-8 4649.576725425328 1.7250949241751065E36 6.224228847599979E29 7.960685747405481E42 36 37
37 101.5625 0.5749999999999886 1.9929024676027527E-4 12.777417238341128 6.700515340435312E-8 4679.120380361504 1.7234200682356116E36 6.218185403706453E29 7.945234935885588E42 37 38
38 102.13749999999999 0.5750000000000028 2.0035589095901554E-4 12.764979170067296 6.689598258031764E-8 4708.724226206644 1.7217424196069944E36 6.212131895450501E29 7.929773423736855E42 38 39
39 102.7125 0.5750000000000028 2.014214417075496E-4 12.752521260663196 6.678685885018557E-8 4738.390993573236 1.720062094803555E36 6.206068975759209E29 7.914302654863963E42 39 40
40 103.2875 0.5750000000000028 2.0248693244306407E-4 12.740044322220294 6.667779168802605E-8 4768.121489089885 1.7183792033603202E36 6.199996602045309E29 7.898823149769579E42 40 41
41 103.86250000000001 0.5750000000000028 2.0355229341456334E-4 12.727547737076602 6.656877197958384E-8 4797.91462227289 1.7166936619669426E36 6.193914753297994E29 7.883334569190135E42 41 42
