#CellList
#Coordinate Time=1000208.4361768551
#Id(1) x(2) Volume(3) S(4) D(5) E(6) 3-Vel(7) rho0(8) eps(9) p(10) left(12) right(13) 
0 80.2875 0.5750000000000028 -1.607907949143793E-4 15.408041313171754 0.0 -3130.6535005898245 2.0782390617585535E36 0.0 0.0 0 1
1 80.86250000000001 0.5750000000000028 -1.6023764570658334E-4 15.290535416595212 0.0 -3143.859413830727 2.0623898477472832E36 0.0 0.0 1 2
2 81.4375 0.5749999999999886 -1.5984081186611715E-4 15.210700976253182 0.0 -3152.5334456773417 2.0516217657419392E36 0.0 0.0 2 3
3 82.01249999999999 0.5750000000000028 -1.59535446038132E-4 15.143775703986398 0.0 -3160.4161833195226 2.042594874378833E36 0.0 0.0 3 4
4 82.5875 0.5750000000000028 -1.592354344768005E-4 15.082281575819923 0.0 -3167.33447143876 2.0343005365954454E36 0.0 0.0 4 5
5 83.1625 0.5750000000000028 -1.5896015249387016E-4 15.026714902840496 0.0 -3173.5509761449316 2.026805694910034E36 0.0 0.0 5 6
6 83.73750000000001 0.5750000000000028 -1.5870154147599384E-4 14.974874836338888 0.0 -3179.3562859880394 2.0198134984988057E36 0.0 0.0 6 7
7 84.3125 0.5749999999999886 -1.5843974248250646E-4 14.923499952750527 0.0 -3185.038556320121 2.0128840460328775E36 0.0 0.0 7 8
8 84.88749999999999 0.5750000000000028 -1.581129793571527E-4 14.86892692780952 0.0 -3190.1356457963125 2.005523227752936E36 0.0 0.0 8 9
9 85.4625 0.5750000000000028 -1.5774736572261915E-4 14.817314476435087 0.0 -3193.8452674436 1.9985617321064E36 0.0 0.0 9 10
10 86.0375 0.5750000000000028 -1.5743201086752538E-4 14.772394770210113 0.0 -3197.1527971551664 1.9925029549896066E36 0.0 0.0 10 11
11 86.61250000000001 0.5750000000000028 -1.571535250415596E-4 14.732201779530127 0.0 -3200.2044377355496 1.987081718016951E36 0.0 0.0 11 12
12 87.1875 0.5749999999999886 -1.568852746694335E-4 14.693586924627782 0.0 -3203.137711864206 1.9818733402488713E36 0.0 0.0 12 13
13 87.76249999999999 0.5750000000000028 -1.5659708491499202E-4 14.653566454946088 0.0 -3205.985765918475 1.976475372935907E36 0.0 0.0 13 14
14 88.3375 0.5750000000000028 -1.5622314920709005E-4 14.608352545169163 0.0 -3208.2293069813304 1.9703769135973355E36 0.0 0.0 14 15
15 88.9125 0.5750000000000028 -1.5583815967364366E-4 14.56663019843679 0.0 -3209.489584427715 1.9647493968373403E36 0.0 0.0 15 16
16 89.48750000000001 0.5750000000000028 -1.5550022540926952E-4 14.529838801487566 0.0 -3210.639034619215 1.9597869673679822E36 0.0 0.0 16 17
17 90.0625 0.5749999999999886 -1.551749969348086E-4 14.49465050062617 0.0 -3211.7020743916187 1.955040763753803E36 0.0 0.0 17 18
18 90.63749999999999 0.5750000000000028 -1.548376047473869E-4 14.458999481246591 0.0 -3212.620726936442 1.9502321485923422E36 0.0 0.0 18 19
19 91.2125 0.5750000000000028 -1.544485433403954E-4 14.41985448118645 0.0 -3213.2476137377953 1.9449522647612667E36 0.0 0.0 19 20
20 91.7875 0.5750000000000028 -1.5394977804901504E-4 14.371586221823646 0.0 -3213.628106309617 1.9384418342651314E36 0.0 0.0 20 21
21 92.36250000000001 0.5750000000000028 -1.5335985568404637E-4 14.320708561850628 0.0 -3212.6871730199096 1.931579447399963E36 0.0 0.0 21 22
22 92.9375 0.5749999999999886 -1.5283696152199896E-4 14.278078211013204 0.0 -3211.2927089328496 1.9258294589021165E36 0.0 0.0 22 23
23 93.51249999999999 0.5750000000000028 -1.5236478612105575E-4 14.240930710046186 0.0 -3209.7225080992253 1.920818998066417E36 0.0 0.0 23 24
24 94.0875 0.5750000000000028 -1.5190311002124786E-4 14.20520565509667 0.0 -3208.044579771643 1.9160003969756922E36 0.0 0.0 24 25
25 94.6625 0.5750000000000028 -1.5141970303122793E-4 14.168173912975089 0.0 -3206.193768398603 1.911005549711485E36 0.0 0.0 25 26
26 95.23750000000001 0.5750000000000028 -1.508475667375653E-4 14.123953132088387 0.0 -3204.0795942926097 1.905041043755806E36 0.0 0.0 26 27
27 95.8125 0.5749999999999886 -1.5010560367033221E-4 14.066810922468074 0.0 -3201.271514154872 1.8973336934384506E36 0.0 0.0 27 28
28 96.38749999999999 0.5750000000000028 -1.4935049257763398E-4 14.014658741257056 0.0 -3197.020248619436 1.8902993989463062E36 0.0 0.0 28 29
29 96.9625 0.5750000000000028 -1.4869531272699516E-4 13.972908595892726 0.0 -3192.5059490628205 1.8846681327028012E36 0.0 0.0 29 30
30 97.5375 0.5750000000000028 -1.480973860178405E-4 13.93762893023731 0.0 -3187.7169372018625 1.8799096057910704E36 0.0 0.0 30 31
31 98.11250000000001 0.5750000000000028 -1.4752270476574753E-4 13.905345894146247 0.0 -3182.719205018489 1.875555264751369E36 0.0 0.0 31 32
32 98.6875 0.5749999999999886 -1.4695115758358364E-4 13.873765678809182 0.0 -3177.605006145602 1.8712957202867E36 0.0 0.0 32 33
33 99.26249999999999 0.5750000000000028 -1.4635841733589961E-4 13.841093899941617 0.0 -3172.258314131883 1.8668889455595238E36 0.0 0.0 33 34
34 99.8375 0.5750000000000028 -1.457115071027798E-4 13.804850490223231 0.0 -3166.528472133208 1.8620004286954255E36 0.0 0.0 34 35
35 100.4125 0.5750000000000028 -1.4499474281652494E-4 13.763354169970537 0.0 -3160.452191215435 1.856403398423417E36 0.0 0.0 35 36
36 100.98750000000001 0.5750000000000028 -1.44177636151212E-4 13.713093966635046 0.0 -3154.1598818327943 1.8496242942080064E36 0.0 0.0 36 37
37 101.5625 0.5749999999999886 -1.4326939070150125E-4 13.659330994347657 0.0 -3146.6268170993285 1.8423727359596002E36 0.0 0.0 37 38
38 102.13749999999999 0.5750000000000028 -1.4238709091043858E-4 13.610429517251351 0.0 -3138.4848816849217 1.835776896955439E36 0.0 0.0 38 39
39 102.7125 0.5750000000000028 -1.4152375933422398E-4 13.565164790592892 0.0 -3129.8645063059 1.8296715834285E36 0.0 0.0 39 40
40 103.2875 0.5750000000000028 -1.4067410553802206E-4 13.523129919325774 0.0 -3120.7443774607104 1.8240019133102265E36 0.0 0.0 40 41
41 103.86250000000001 0.5750000000000028 -1.3983952608933152E-4 13.484240644104045 0.0 -3111.1768867120313 1.8187565216866377E36 0.0 0.0 41 42
42 104.4375 0.5749999999999886 -1.3901839888122872E-4 13.448251741917865 0.0 -3101.185229480316 1.8139023328391815E36 0.0 0.0 42 43
43 105.01249999999999 0.5750000000000028 -1.3820969738848895E-4 13.41489798327123 0.0 -3090.810624743636 1.809403572571271E36 0.0 0.0 43 44
44 105.5875 0.5750000000000028 -1.3741035048941028E-4 13.383580932553924 0.0 -3080.1252186963598 1.8051795237926607E36 0.0 0.0 44 45
45 106.1625 0.5750000000000028 -1.3661499183183706E-4 13.35327268587993 0.0 -3069.24740576062 1.8010915426637897E36 0.0 0.0 45 46
46 106.73750000000001 0.5750000000000028 -1.3581489530731561E-4 13.322945112790608 0.0 -3058.217852528584 1.7970009547849516E36 0.0 0.0 46 47
47 107.3125 0.5749999999999886 -1.3499625214075486E-4 13.29249284108373 0.0 -3046.7479746955128 1.7928935475367743E36 0.0 0.0 47 48
48 107.88749999999999 0.5750000000000028 -1.3417035805311873E-4 13.262849116164562 0.0 -3034.8763725946465 1.7888951972078786E36 0.0 0.0 48 49
49 108.4625 0.5750000000000028 -1.3334722177290817E-4 13.233775277124906 0.0 -3022.88392345767 1.784973713177008E36 0.0 0.0 49 50
50 109.0375 0.5750000000000028 -1.3251556600683606E-4 13.204781296195453 0.0 -3010.6269017499662 1.7810630004207473E36 0.0 0.0 50 51
51 109.61250000000001 0.5750000000000028 -1.316749947504834E-4 13.175862841275926 0.0 -2998.0957528941362 1.7771624746247214E36 0.0 0.0 51 52
52 110.1875 0.5749999999999886 -1.3082694840110476E-4 13.146912969801999 0.0 -2985.346036022518 1.7732577113588504E36 0.0 0.0 52 53
53 110.76249999999999 0.5750000000000028 -1.2996736294169597E-4 13.118061536034798 0.0 -2972.253848284232 1.7693662253865254E36 0.0 0.0 53 54
54 111.3375 0.5750000000000028 -1.2910412196421523E-4 13.08945448133031 0.0 -2958.9649167203665 1.7655077013010328E36 0.0 0.0 54 55
55 111.9125 0.5749999999999886 -1.2823192206372133E-4 13.061373573002992 0.0 -2945.293341783785 1.7617201439225504E36 0.0 0.0 55 56
56 112.4875 0.575000000000017 -1.2736174916158234E-4 13.033691115030758 0.0 -2931.519890356442 1.7579863295913036E36 0.0 0.0 56 57
